Type,Title/ID,Points,Question Wording,Correct Answer,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Choice 8,Choice 9,Choice 10,General Feedback,Correct Feedback,Incorrect Feedback,Feedback 1,Feedback 2,Feedback 3,Feedback 4,Feedback 5,Feedback 6,Feedback 7,Feedback 8,Feedback 9,Feedback 10,Topic,Difficulty Level,Meta 1,Meta 2,Meta 3,Meta 4
MR,spread02074,1,"IQR stands for ""I quit reading.""",2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02075,1,IQR looks at the most common values in the data set.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02076,1,IQR looks at the extreme values in the data set.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02077,1,"IQR stands for ""ictus qua rationarium""",2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02078,1,Variance is a measure of how spread out the entire data set is.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02079,1,Variance is calculated using only the values in the middle of the data set.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02080,1,Variance is in squared units.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02081,1,"Outliers strongly influence the mean, the variance, and the range.",1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02082,1,Removing outliers increases the range and the variance.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02083,1,The standard deviation is the square root of the variance.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02084,1,The standard deviation units are squared units.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02085,1,The standard deviation units are the same as the original data.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02086,1,Standard deviation is the avarage amount data points differ from the mean.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02087,1,Standard deviation is the amount any single data point differs from the mean.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02088,1,Standard deviation is increased by outliers.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02089,1,Standard deviation is decreased by outliers.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02090,1,A large standard deviation means the mean represents the data well.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02091,1,A small standard deviation means the mean represents the data well.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02092,1,Variation is very important in statistics.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=1A5N4LJ6cCY&index=7&list=PLjgj6kdf_snZv7dk0ktMm7Ch9RFajwKHb,https://www.youtube.com/watch?v=1A5N4LJ6cCY&index=7&list=PLjgj6kdf_snZv7dk0ktMm7Ch9RFajwKHb,,,,,,,,,,,,,,,,
MR,spread02093,1,Variation is not important in statistics.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=1A5N4LJ6cCY&index=7&list=PLjgj6kdf_snZv7dk0ktMm7Ch9RFajwKHb,https://www.youtube.com/watch?v=1A5N4LJ6cCY&index=7&list=PLjgj6kdf_snZv7dk0ktMm7Ch9RFajwKHb,,,,,,,,,,,,,,,,
MR,spread02094,1,A deviation score is how much any data point differs from the mean.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=1A5N4LJ6cCY&index=7&list=PLjgj6kdf_snZv7dk0ktMm7Ch9RFajwKHb,https://www.youtube.com/watch?v=1A5N4LJ6cCY&index=7&list=PLjgj6kdf_snZv7dk0ktMm7Ch9RFajwKHb,,,,,,,,,,,,,,,,
MR,spread02095,1,A deviation score is calculated by subtracting the mean from the individual score.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=1A5N4LJ6cCY&index=7&list=PLjgj6kdf_snZv7dk0ktMm7Ch9RFajwKHb,https://www.youtube.com/watch?v=1A5N4LJ6cCY&index=7&list=PLjgj6kdf_snZv7dk0ktMm7Ch9RFajwKHb,,,,,,,,,,,,,,,,
MR,spread02096,1,Variance is the sum of all deviation scores squared divided by the total number of scores.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=1A5N4LJ6cCY&index=7&list=PLjgj6kdf_snZv7dk0ktMm7Ch9RFajwKHb,https://www.youtube.com/watch?v=1A5N4LJ6cCY&index=7&list=PLjgj6kdf_snZv7dk0ktMm7Ch9RFajwKHb,,,,,,,,,,,,,,,,
MR,calc102097,1,"Given the following data set [1,2,3,4,5], what is the mean?",1,3,1.58,2.5,2,4,,,,,,,,,,,,,,,,,,,,,,,,
MR,calc102098,1,"Given the following data set [1,2,3,4,5], what is the standard deviation?",2,3,1.58,2.5,2,4,,,,,,,,,,,,,,,,,,,,,,,,
MR,calc102099,1,"Given the following data set [1,2,3,4,5], what is the variance?",3,3,1.58,2.5,2,4,,,,,,,,,,,,,,,,,,,,,,,,
MR,calc102100,1,"Given the following data set [1,2,3,4,5], what is the first quartile?",4,3,1.58,2.5,2,4,,,,,,,,,,,,,,,,,,,,,,,,
MR,calc102101,1,"Given the following data set [1,2,3,4,5], what is the third quartile?",5,3,1.58,2.5,2,4,,,,,,,,,,,,,,,,,,,,,,,,
MR,calc102102,1,"Given the following data set [1,2,3,4,5], what is the IQR?",4,3,1.58,2.5,2,4,,,,,,,,,,,,,,,,,,,,,,,,
MR,calc102103,1,"Given the following data set [1,2,3,4,5], what is the range?",5,3,1.58,2.5,2,4,,,,,,,,,,,,,,,,,,,,,,,,
MR,calc102104,1,"Given the following data set [1,2,3,4,5], what is the median?",1,3,1.58,2.5,2,4,,,,,,,,,,,,,,,,,,,,,,,,
MR,calc202105,1,"Given the following data set [1,3,5,7,9], what is the mean?",1,5,3.16,10,3,7,4,8,,,,,,,,,,,,,,,,,,,,,,
MR,calc202106,1,"Given the following data set [1,3,5,7,9], what is the standard deviation?",2,5,3.16,10,3,7,4,8,,,,,,,,,,,,,,,,,,,,,,
MR,calc202107,1,"Given the following data set [1,3,5,7,9], what is the variance?",3,5,3.16,10,3,7,4,8,,,,,,,,,,,,,,,,,,,,,,
MR,calc202108,1,"Given the following data set [1,3,5,7,9], what is the first quartile?",4,5,3.16,10,3,7,4,8,,,,,,,,,,,,,,,,,,,,,,
MR,calc202109,1,"Given the following data set [1,3,5,7,9], what is the third quartile?",5,5,3.16,10,3,7,4,8,,,,,,,,,,,,,,,,,,,,,,
MR,calc202110,1,"Given the following data set [1,3,5,7,9], what is the IQR?",6,5,3.16,10,3,7,4,8,,,,,,,,,,,,,,,,,,,,,,
MR,calc202111,1,"Given the following data set [1,3,5,7,9], what is the range?",7,5,3.16,10,3,7,4,8,,,,,,,,,,,,,,,,,,,,,,
MR,calc202112,1,"Given the following data set [1,2,3,4,5], what is the median?",1,5,3.16,10,3,7,4,8,,,,,,,,,,,,,,,,,,,,,,
MR,calc302113,1,A data point has the value of 7 and the mean of the data set is 10. What is the deviation score?,1,-3,3,-2.5,7,,,,,,,,,,,,,,,,,,,,,,,,,
MR,calc302114,1,A data point has the value of 13 and the mean of the data set is 10. What is the deviation score?,1,3,-3,-2.5,7,,,,,,,,,,,,,,,,,,,,,,,,,
MR,calc302115,1,A data point has the value of 7.5 and the mean of the data set is 10. What is the deviation score?,1,-2.5,-3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,
MR,calc302116,1,A data point has the value of 17 and the mean of the data set is 10. What is the deviation score?,1,7,-3,3,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,
MR,visual02117,1,What type of plot is appropriate for nominal level data?,1,bar chart,histogram,box plot,scatter plot,,,,,,,,,,,,,,,,,,,,,,,,,
MR,visual02118,1,What type of plot is appropriate for ordinal level data.,1,bar chart,histogram,box plot,scatter plot,,,,,,,,,,,,,,,,,,,,,,,,,
MR,visual02119,1,What type of plot is appropriate for interval level data?,"2,3",bar chart,histogram,box plot,scatter plot,,,,,,,,,,,,,,,,,,,,,,,,,
MR,visual02120,1,What types of plot is appropriate for ratio level data?,"2,3",bar chart,histogram,box plot,scatter plot,,,,,,,,,,,,,,,,,,,,,,,,,
MR,visual02121,1,What type of plot is appropriate to show th relationship between two variables?,4,bar chart,histogram,box plot,scatter plot,,,,,,,,,,,,,,,,,,,,,,,,,
MR,visual02122,1,What types of information can be shown on a bar chart?,"1,2",frequencies,percents,means,standard deviations,,,,,,,,,,,,,,,,,,,,,,,,,
MR,visual02123,1,Sometimes the scale of a plot can make differences look larger or smaller than they really are.,1,TRUE,FALSE,Not enough information,,,,,,,,,,,,,,,,,,,,,,,,,,
MR,visual02124,1,You can change the appearance of a histogram by changing the bin size.,1,TRUE,FALSE,Not enough information,,,,,,,,,,,,,,,,,,,,,,,,,,
MR,visual02125,1,Histograms are usefule for seeing how data are distributed.,1,TRUE,FALSE,Not enough information,,,,,,,,,,,,,,,,,,,,,,,,,,
MR,visual02126,1,Probable outliers can't be seen on a histogram.,2,TRUE,FALSE,Not enough information,,,,,,,,,,,,,,,,,,,,,,,,,,
MR,visual02127,1,Boxplots are useful for seeing outliers.,1,TRUE,FALSE,Not enough information,,,,,,,,,,,,,,,,,,,,,,,,,,
MR,visual02128,1,Boxplots are not useful for seeing outliers.,2,TRUE,FALSE,Not enough information,,,,,,,,,,,,,,,,,,,,,,,,,,
MR,histimg02129,1,"[img:""hist_norm.jpeg""] Select the statements that are true.",1,The data are normally distributed.,The data are left skewed.,The data are right skewed.,The data are platykurtic.,The data are leptokurtic.,,,,,,,,,,,,,,,,,,,,,,,,
MR,histimg02130,1,"[img:""hist_Lskew.jpeg""] Select the statements that are true.",2,The data are normally distributed.,The data are left skewed.,The data are right skewed.,The data are platykurtic.,The data are leptokurtic.,,,,,,,,,,,,,,,,,,,,,,,,
MR,histimg02131,1,"[img:""hist_Rskew.jpeg""] Select the statements that are true.",3,The data are normally distributed.,The data are left skewed.,The data are right skewed.,The data are platykurtic.,The data are leptokurtic.,,,,,,,,,,,,,,,,,,,,,,,,
MR,histimg02132,1,"[img:""hist_plat.jpeg""] Select the statements that are true.",4,The data are normally distributed.,The data are left skewed.,The data are right skewed.,The data are platykurtic.,The data are leptokurtic.,,,,,,,,,,,,,,,,,,,,,,,,
MR,histimg02133,1,"[img:""hist_lept.jpeg""] Select the statements that are true.",5,The data are normally distributed.,The data are left skewed.,The data are right skewed.,The data are platykurtic.,The data are leptokurtic.,,,,,,,,,,,,,,,,,,,,,,,,
MR,boximg02134,1,"[img:""box_norm.jpeg""] Select the statements that are true.","2,3,4",There are no outliers.,There are outliers with large values.,There are outliers with small values.,The data are symetrically distributed.,The data are left skewed.,The data are right skewed.,,,,,,,,,,,,,,,,,,,,,,,
MR,boximg02135,1,"[img:""box_Lskew.jpeg""] Select the statements that are true.","3,5",There are no outliers.,There are outliers with large values.,There are outliers with small values.,The data are symetrically distributed.,The data are left skewed.,The data are right skewed.,,,,,,,,,,,,,,,,,,,,,,,
MR,boximg02136,1,"[img:""box_Rskew.jpeg""] Select the statements that are true.","2,6",There are no outliers.,There are outliers with large values.,There are outliers with small values.,The data are symetrically distributed.,The data are left skewed.,The data are right skewed.,,,,,,,,,,,,,,,,,,,,,,,
MR,boximg02137,1,"[img:""box_plat.jpeg""] Select the statements that are true.","1,4",There are no outliers.,There are outliers with large values.,There are outliers with small values.,The data are symetrically distributed.,The data are left skewed.,The data are right skewed.,,,,,,,,,,,,,,,,,,,,,,,
MR,boximg02138,1,"[img:""box_lept.jpeg""] Select the statements that are true.","2,3,4",There are no outliers.,There are outliers with large values.,There are outliers with small values.,The data are symetrically distributed.,The data are left skewed.,The data are right skewed.,,,,,,,,,,,,,,,,,,,,,,,
MR,zscore02139,1,What does centering a variable mean?,"1,2,4,5",moving the mean of the variable scores to zero by subtracting the mean from each score,making the variable easier to interpret by moving the mean to zero,moving your computer so it's in the center of your desk,making scores bigger than the mean greater than zero,making scores less than the mean less than zero,,,,,,,,,,zscore,,,,,,,,,,,,,,
MR,zscore02140,1,How do you center a variable?,1,subtract the mean from each score,subtract the standard deviation from each score,fix the formatting for the column in your spreadsheet,,,,,,,,,,,,zscore,,,,,,,,,,,,,,
MR,zscore02141,1,Why would you want to center a variable?,"1,3,4",it makes it easier to interpret,all the other statisticians are doing it,it's easier to interpret because scores greater than zero are greater than the mean after they're centered.,it's easier to interpret because scores less than zero are smaller than the mean after they're centered.,,,,,,,,,,,zscore,,,,,,,,,,,,,,
MR,zscore02142,1,What is the mean for variables that have been converted to a Z score?,1,zero,one,the same as the original variable,,,,,,,,,,,,zscore,,,,,,,,,,,,,,
MR,zscore02143,1,What units are z scores in?,1,standard deviations,the original unit of measurement,there are no units for z scores.,,,,,,,,,,,,zscore,,,,,,,,,,,,,,
MR,zscore02144,1,Why are z scores useful?,"1,2",They allow you to compare variables that were measured on different scales.,They make interpreting scores easier.,They're more accurate than raw scores.,,,,,,,,,,,,zscore,,,,,,,,,,,,,,
MR,zscore02145,1,What is the standard deviation for z scores?,2,zero,one,the same as the original variable,,,,,,,,,,,,zscore,,,,,,,,,,,,,,
MR,percentile02146,1,What do percentiles tell us?,1,The percentage of scores that are lower than or equal to the z score of interest.,The percent correct on a test.,How to calculate percentages.,,,,,,,,,,,,percentile,,,,,,,,,,,,,,
TF,probability02147,1,"In probability, independence means the probability of one event doesn't affect the probability of another event.",TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=jos1yBC_L8E,https://www.youtube.com/watch?v=jos1yBC_L8E,,,,,,,,,,,,,,,,
TF,probability02148,1,"In probability, independence means the probability of one event affects the probability of another.",FALSE,,,,,,,,,,,,https://www.youtube.com/watch?v=jos1yBC_L8E,https://www.youtube.com/watch?v=jos1yBC_L8E,,,,,,,,,,,,,,,,
MR,probability02149,1,Which of the following options is the conditional probability formula?,"1,2",P(b|a) = P(a and b)/P(a),P(a|b) = P(a and b)/P(b),P(a|b) = P(a or b)/P(a),P(a|b) = P(a and b)/P(a),,,,,,,,https://www.youtube.com/watch?v=jos1yBC_L8E,https://www.youtube.com/watch?v=jos1yBC_L8E,,,,,,,,,,,,,,,,
MC,probability02150,1,What is the probability of rolling a 1 on a six-sided die and rolling a head with a coin?,1,12-Jan,6-Jan,2-Jan,3-Feb,,,,,,,,https://www.youtube.com/watch?v=jos1yBC_L8E,https://www.youtube.com/watch?v=jos1yBC_L8E,,,,,,,,,,,,,,,,
MC,probability02151,1,Drawing two cards from a deck WITHOUT replacement are (independent or dependent) events.,2,independent,dependent,,,,,,,,,,https://www.youtube.com/watch?v=jos1yBC_L8E,https://www.youtube.com/watch?v=jos1yBC_L8E,,,,,,,,,,,,,,,,
MC,probability02152,1,What is the probability of drawing both jokers out of a deck of cards WITHOUT replacement?,1,2/54 * 1/53,2/52 * 1/51,1/52 * 1/52,2/52 * 2/52,2/54 * 2/54,,,,,,,https://www.youtube.com/watch?v=jos1yBC_L8E,https://www.youtube.com/watch?v=jos1yBC_L8E,,,,,,,,,,,,,,,,
MC,probability02153,1,Drawing two cards from a deck WITH replacement are (independent or dependent) events.,1,independent,dependent,,,,,,,,,,https://www.youtube.com/watch?v=jos1yBC_L8E,https://www.youtube.com/watch?v=jos1yBC_L8E,,,,,,,,,,,,,,,,
MC,probability02154,1,What is the probability of drawing two jokers from a deck of cards WITH replacement? 2/54 * 2/54,1,2/54 * 2/54,2/54 * 1/53,2/52 * 1/51,1/52 * 1/52,2/52 * 2/52,,,,,,,https://www.youtube.com/watch?v=jos1yBC_L8E,https://www.youtube.com/watch?v=jos1yBC_L8E,,,,,,,,,,,,,,,,
MC,probability02155,1,"When rolling a 6 sided die, what is the conditional probability of rolling a 1 when you know that you rolled an odd number? 1/3",1,3-Jan,6-Jan,2-Jan,12-Jan,,,,,,,,https://www.youtube.com/watch?v=H02B3aMNKzE,https://www.youtube.com/watch?v=H02B3aMNKzE,,,,,,,,,,,,,,,,
